r_key,end_lat,end_lon,end_lat_pre,end_lon_pre
SDK-XJ_b4fa1cdaaee4447385bc8de3cc5be06f,34.813016999999995,115.559201,34.813,115.559
SDK-XJ_413558bd2f8737672292bd51915b8924,34.823601000000004,115.542005,34.851,115.574
SDK-XJ_6fa3911265413a4d38abb0de70a7329f,34.821822999999995,115.572382,34.825,115.549
SDK-XJ_5cb1b42cc4878e83403d8f34c12245a9,43.946681,125.324842,43.853,125.345
SDK-XJ_51822a983c6a8d6b6eeee8d52c921f9d,43.943445,125.377481,43.944,125.378
SDK-XJ_a93b7d111e142fceb814686861608ad2,43.955289,125.306746,43.949,125.305
SDK-XJ_1956c1b779d9a8838c6674b18b718591,43.893839,125.256535,43.894,125.255
SDK-XJ_b4d855a71dd266357dc73a373f6a4fb3,43.853428,125.346432,43.853,125.345
SDK-XJ_a7b665ab5ccecc43105ecde2e333b978,43.938339,125.29256,43.893,125.269
SDK-XJ_22409b0e040c1ee9834bd8abde4ec641,43.853716,125.346305,43.894,125.257
SDK-XJ_33fac38a1fe9936a766e570a35880d4e,43.853375,125.345097,43.853,125.345
SDK-XJ_df0e9759dac7e4e45415a4fb63c6f412,43.94939,125.30886,43.946,125.3
SDK-XJ_6ed6b5ff35914d148a8c80f994669772,43.853388,125.34508,43.853,125.345
SDK-XJ_0f59a4b226b03170553011a25013f038,43.951819,125.30843,43.937,125.306
SDK-XJ_cadeb9b9959c95b2ad1a26c3abb9c066,43.776062,125.464905,43.853,125.345
SDK-XJ_75d17fa8e7baf56530a6fe781926d5be,44.033013,125.15656,43.953,125.308
SDK-XJ_5e9f41f0bcf146fb4347e7d390aef4b2,43.954585,125.319146,43.95,125.311
SDK-XJ_e6df893ad0c68f81b3a78b62e624255e,43.942785,125.301325,43.953,125.308
SDK-XJ_852c808d568b79f1cc3cb1237e32938f,43.949986,125.313677,43.953,125.307
SDK-XJ_0247280944d528599eacf85172a7f30c,43.89386500000001,125.256532,43.894,125.257
SDK-XJ_bc8902861f94fa47b33389bc32a3431a,43.953379,125.308349,43.953,125.308
